network,dataset,activation,param,mean_train_loss,std_train_loss,mean_test_loss,std_test_loss,mean_accuracy,std_accuracy
ResNet18,CIFAR10,zailu,0.0,0.2903125261165399,0.002417041959508663,0.3853627806311896,0.03032299406802144,88.23,0.1336662510384203
ResNet18,CIFAR10,zailu,0.25,0.4283227708670235,0.0036109853634440237,0.4647616716501186,0.020305491336085144,84.59000000000002,0.23762715894162031
ResNet18,CIFAR10,zailu,0.5,0.3378362358019759,0.0029990667276061146,0.4000199942183216,0.022207780893965013,86.88,0.19815818596936208
ResNet18,CIFAR10,zailu,1.0,0.2859767690259655,0.0025156102465794176,0.3886322058674004,0.027149090239341714,87.37333333333333,1.601589488254994
ResNet18,CIFAR10,zailu,2.0,0.2664149389473622,0.0024944285399868347,0.3734029945500212,0.020843744616731746,88.23666666666668,0.19136933459209687
ResNet18,CIFAR10,zailu,5.0,0.25588538233867236,0.002245726309125034,0.3654832237876652,0.023435593210016207,88.14666666666666,0.7306770072261045
ResNet18,CIFAR10,zailu,1000.0,0.2679692564972018,0.0024280840998206574,0.36855552600194436,0.02757388665701276,88.45666666666666,0.7022503510540631
ResNet18,CIFAR10,zailu_approx,0.0,0.30036088432306823,0.004291779893565361,0.4006696850203784,0.03042585548572194,87.01666666666667,0.8165510122188053
ResNet18,CIFAR10,zailu_approx,0.25,0.4193702595853085,0.002949116579114437,0.45811226383769094,0.018996250241613763,85.06333333333333,0.48664383508087256
ResNet18,CIFAR10,zailu_approx,0.5,0.344098982332276,0.0027908997956897523,0.41329228644538085,0.02020483718222353,86.82666666666667,0.47786562499886404
ResNet18,CIFAR10,zailu_approx,1.0,0.2970188009818636,0.002607397425913384,0.37658243327383795,0.01654971477664246,88.27,0.5295910371849826
ResNet18,CIFAR10,zailu_approx,2.0,0.27448281512197936,0.0025986774988873028,0.3794840270712687,0.028032135258810324,87.95666666666666,0.426953028902352
ResNet18,CIFAR10,zailu_approx,5.0,0.2623436270035543,0.002347667724893307,0.3611300520780803,0.019443115338086205,88.41333333333334,0.5007549855523682
ResNet18,CIFAR10,zailu_approx,1000.0,0.2682085438519526,0.00209911452727313,0.3844777428641946,0.03734985102369504,87.57333333333332,0.8356368163795138
