sigma,test_loss,test_acc,trial
0,0.027645410784664058,99.16,0
1,2.001175424855226,46.35,0
2,8.551497019020616,10.16,0
3,11.043653050805354,9.77,0
4,12.152801635159049,9.73,0
5,12.554251506829717,9.71,0
6,12.492085906350688,9.74,0
7,12.16472222395004,9.73,0
8,11.774476531204904,9.69,0
0,0.024357262936162697,99.2,1
1,2.557174816253079,37.79,1
2,6.576675214585225,11.6,1
3,7.045448777022635,10.91,1
4,8.065018547568352,10.33,1
5,9.708972706156931,10.28,1
6,11.417434018128997,9.94,1
7,13.014020069389586,10.07,1
8,14.478742696677044,10.16,1
0,0.0602271116845114,98.1,2
1,4.940373575611479,21.35,2
2,7.413029527967902,11.38,2
3,6.573660382799282,10.21,2
4,7.164932870561151,10.14,2
5,8.47144688162834,10.21,2
6,10.177271041141195,10.24,2
7,12.050473741665009,10.18,2
8,13.956423060909199,10.16,2
