sigma,test_loss,test_acc,trial
0,0.02808181764680305,99.18,0
1,5.868898929304378,19.34,0
2,15.733924464814981,9.74,0
3,18.150096632113122,9.74,0
4,20.35340661455871,9.74,0
5,22.68272141134663,9.74,0
6,25.096188235434756,9.74,0
7,27.639145055394263,9.74,0
8,30.22082391969717,9.7,0
0,0.025364870338991378,99.29,1
1,5.057382424166248,18.67,1
2,10.57196616519029,9.75,1
3,9.958112431179945,9.74,1
4,8.108771454756427,9.73,1
5,6.656283554757477,9.73,1
6,5.637723625085916,9.62,1
7,5.0154724956318075,9.43,1
8,4.711050888535324,9.55,1
0,0.022287785568887036,99.3,2
1,10.432977062881372,12.21,2
2,16.917984452217247,9.74,2
3,17.618546406934215,9.74,2
4,17.72490935720456,9.74,2
5,18.14173201542751,9.71,2
6,18.79640315596465,9.74,2
7,19.686660608668237,9.71,2
8,20.523816989485624,9.97,2
