epoch,train_loss,test_loss,accuracy
1,1.38612800135332,1.0850579419713111,62.4
2,0.9231078121668238,0.8323818559099914,71.03
3,0.7707393375580268,1.0255153638542078,67.16
4,0.6824272951811475,0.7867356905132342,74.06
5,0.6200111495793018,0.7799991312300324,74.14
6,0.5743870920384936,0.6285114616725096,78.84
7,0.5391138944860614,0.6152439812186418,78.65
8,0.5073262836660266,0.5650580367844575,80.96
9,0.4821699145238113,0.4817251426399134,83.72
10,0.45765145405021773,0.5378131837032403,81.85
11,0.4490594727075313,0.47864450988875834,84.38
12,0.4309387706848971,0.532947810212518,82.29
13,0.4196700919086061,0.5626505581056995,81.7
14,0.4045110576216827,0.5673515494841679,81.47
15,0.3983045131006204,0.43020934872566513,85.45
16,0.3880211802013695,0.4759952255115388,84.11
17,0.38016013136071625,0.4680983799088533,85.03
18,0.3738938779248606,0.40912741251811857,86.05
19,0.37025305573516487,0.48187521802391975,84.32
20,0.3659096740357711,0.43381366541810856,85.51
21,0.36013710390195214,0.4221447714764601,86.11
22,0.35626576096772233,0.4876871266562468,84.31
23,0.347296336584765,0.41969358142773816,86.08
24,0.3486214229441665,0.46843443886869274,84.47
25,0.3398514445156545,0.38187812050436715,87.51
26,0.3375801029317367,0.4246665467122558,86.15
27,0.33656349318945195,0.38076417119639694,87.33
28,0.33849251634248384,0.3840387806201437,87.22
29,0.330271418318343,0.3906123202507663,86.74
30,0.32630056598226126,0.4689249217889871,84.7
31,0.32381525933933075,0.3917895435907279,87.24
32,0.31888455649852143,0.47871639271071004,84.84
33,0.3229640284958093,0.37776976202134116,87.48
34,0.3193427602596143,0.3802411435705841,87.72
35,0.3122315263408986,0.39052111831060643,87.1
36,0.3103233641847168,0.3988270607723552,87.1
37,0.3112056628441262,0.39578142885569556,87.05
38,0.307505318147066,0.36590665948998397,87.75
39,0.30475767113058766,0.36467790252463833,87.75
40,0.3023874701984474,0.44686454876213316,86.12
41,0.30744866341771676,0.3642350762702857,88.04
42,0.3059347042113619,0.3933142120860944,86.8
43,0.2964445882479248,0.3953772319160449,87.6
44,0.3017388351375947,0.3699814628833418,87.74
45,0.2992750583859661,0.449354282609976,86.06
46,0.2971486927622267,0.36389988271673773,87.92
47,0.29820580696663285,0.3565493218458382,88.19
48,0.29752846339436445,0.3978930285591988,87.01
49,0.29389544481130514,0.3763060091407436,87.85
50,0.29657227563126315,0.4141465632399176,86.83
51,0.2917846400395531,0.37620356175929875,87.77
52,0.2882225551092259,0.36739666959282696,88.0
53,0.2921599321867651,0.3613392459169315,88.16
54,0.2895685010172827,0.39668358653593977,86.9
55,0.2871415823212136,0.372861453302347,87.81
56,0.2839213139603815,0.42011673198004434,86.45
57,0.28550745336257893,0.408797431428721,86.91
58,0.2831031766046039,0.4278424904224979,86.67
59,0.2889236513134616,0.4439177349874168,85.68
60,0.2842909124920435,0.3568470117867373,88.23
61,0.28647228216042603,0.3933160616334077,87.11
62,0.28230056906943124,0.4067413732409477,86.93
63,0.28494996951935847,0.4693846209034039,85.12
64,0.2826168653852952,0.35447577676575653,88.52
65,0.2873547709334994,0.3992620023192873,87.68
66,0.27852115162726865,0.3695588468746015,88.06
67,0.2809880583277901,0.3978443183716695,87.18
68,0.280455781027789,0.4160699061812109,86.73
69,0.2815007322355914,0.39271013277351474,87.67
70,0.27766146163082184,0.3667818708404614,88.0
71,0.2756212325409398,0.3907789835694489,87.51
72,0.27862011895174416,0.3908358022665522,87.46
73,0.27741303131975176,0.3604374545964466,88.44
74,0.2783620565881967,0.3451239148237903,88.48
75,0.27531660122372914,0.44025670827194385,86.25
76,0.2723790707681185,0.3388047275744426,89.04
77,0.2769473245619889,0.34716145063091997,88.83
78,0.27267706911544054,0.3431681423999701,88.72
79,0.27742602394136323,0.3796617139581662,88.03
80,0.2748827827556054,0.4263091613152984,86.84
81,0.26926553064523756,0.36685532644675795,88.15
82,0.2757798512763989,0.4162333660824284,87.19
83,0.27074014714649874,0.413725962494589,86.79
84,0.27150768512273993,0.36694617915874833,88.33
85,0.27257086892071586,0.33787178556630565,88.89
86,0.2683629561168001,0.3473477420058979,88.49
87,0.27342582396838977,0.40622941257467693,87.15
88,0.2699917338769454,0.3382721326913044,88.84
89,0.27446119141433856,0.3577577151405584,88.47
90,0.26897785542032604,0.3638591821880857,88.57
91,0.27332829018992844,0.39386488430818933,86.95
92,0.26883961588068084,0.33308947859865845,89.19
93,0.27113137045479796,0.33038103253028955,89.3
94,0.2678457066521544,0.3616781064848991,88.49
95,0.2721388678035468,0.3712725891808795,87.95
96,0.2649143653947984,0.33605263292030163,88.64
97,0.2700687316353516,0.39382099431411477,87.48
98,0.2666274199019308,0.3274181043835962,89.32
99,0.26861370754573505,0.40302130076915593,87.39
100,0.26672158743757424,0.37470681433844716,87.91
