activation,trial,sigma,test_loss,test_acc
gelu,0,0,0.02075297946639057,99.34000000000002
gelu,0,1,0.03473854808440928,98.9014
gelu,0,2,0.14677463149837258,95.41919999999999
gelu,0,3,0.37513964805348654,87.405
gelu,0,4,0.7335623398537089,75.03120000000001
gelu,0,5,1.1113585714891459,62.11780000000001
gelu,0,6,1.376685080277692,52.62999999999999
gelu,0,7,1.5779430545667175,45.608000000000004
gelu,0,8,1.7151400713252414,40.1864
gelu,1,0,0.02973528875572,99.14000000000001
gelu,1,1,0.03463959002625242,98.9014
gelu,1,2,0.12984058371752463,95.7892
gelu,1,3,0.3758891840003858,87.25499999999998
gelu,1,4,0.7160316364685442,75.52900000000001
gelu,1,5,1.092409491709843,62.751599999999996
gelu,1,6,1.4194551936076707,51.3708
gelu,1,7,1.5868180942383538,44.990199999999994
gelu,1,8,1.731533582180169,39.547
gelu,2,0,0.022157683488632042,99.23999999999998
gelu,2,1,0.042766144550893906,98.68339999999998
gelu,2,2,0.11347071109008143,96.24359999999997
gelu,2,3,0.3751030710849698,87.51179999999998
gelu,2,4,0.7640648324967949,73.74019999999999
gelu,2,5,1.1197656764308357,61.428000000000004
gelu,2,6,1.3801053944287027,52.486599999999996
gelu,2,7,1.5842556948874407,45.048
gelu,2,8,1.7279695068195369,40.2542
gelu,3,0,0.019996582838566437,99.35999999999999
gelu,3,1,0.048259737325267234,98.5142
gelu,3,2,0.12589452515110064,95.8826
gelu,3,3,0.3448457344310583,88.38980000000001
gelu,3,4,0.7875514308965889,73.43299999999999
gelu,3,5,1.0718179907122993,63.2752
gelu,3,6,1.379674963677765,52.6062
gelu,3,7,1.5790142723709157,45.28660000000001
gelu,3,8,1.7438230305568427,39.35059999999999
gelu,4,0,0.024839740217847607,99.27999999999999
gelu,4,1,0.037337862306651155,98.77140000000001
gelu,4,2,0.13275144237571154,95.69760000000001
gelu,4,3,0.412018464471267,86.205
gelu,4,4,0.754526260616673,74.3068
gelu,4,5,1.0810822571045273,63.089800000000004
gelu,4,6,1.34482023556521,53.8148
gelu,4,7,1.609809200657401,43.9912
gelu,4,8,1.721556125249073,40.309
gelu,5,0,0.019181578730373527,99.47999999999998
gelu,5,1,0.03416001342114973,98.89380000000001
gelu,5,2,0.12838819662197998,95.69059999999999
gelu,5,3,0.37182918888605704,87.53459999999997
gelu,5,4,0.75132980994548,74.54580000000001
gelu,5,5,1.0990903268991763,62.42080000000001
gelu,5,6,1.3615978354785094,53.101399999999984
gelu,5,7,1.5602524521548276,46.21499999999999
gelu,5,8,1.7430148888393573,38.8696
gelu,6,0,0.024679989019112412,99.25
gelu,6,1,0.03672311667355834,98.81480000000002
gelu,6,2,0.11845623559419327,96.0852
gelu,6,3,0.3579143541688277,87.88940000000001
gelu,6,4,0.7155149805280054,75.7978
gelu,6,5,1.064089927073497,63.4692
gelu,6,6,1.3813020740800601,52.4326
gelu,6,7,1.5731258173277425,45.78880000000001
gelu,6,8,1.7205172135723625,40.297599999999996
gelu,7,0,0.025991047259913393,99.18000000000002
gelu,7,1,0.06092943559067247,98.1768
gelu,7,2,0.12383455646864976,95.9148
gelu,7,3,0.37557728238759724,87.478
gelu,7,4,0.7814455418507005,73.3694
gelu,7,5,1.0963175838692172,62.52439999999999
gelu,7,6,1.3445966719745832,53.58960000000001
gelu,7,7,1.5664243899561037,46.077799999999996
gelu,7,8,1.7213637857072672,40.3086
gelu,8,0,0.049222972221362224,98.43999999999998
gelu,8,1,0.04906914973905299,98.54620000000001
gelu,8,2,0.14076018771388016,95.415
gelu,8,3,0.37733953185403235,87.355
gelu,8,4,0.7673235784917121,74.10520000000001
gelu,8,5,1.1338062083189655,61.254400000000004
gelu,8,6,1.3564789955858974,53.615600000000015
gelu,8,7,1.5925188208841212,45.41899999999999
gelu,8,8,1.718964864676166,39.756400000000006
gelu,9,0,0.02964043432501776,99.05
gelu,9,1,0.03860827068327115,98.7658
gelu,9,2,0.12173344963280615,96.0662
gelu,9,3,0.3569319965396147,87.98380000000002
gelu,9,4,0.7292909636049515,75.07719999999999
gelu,9,5,1.1096798092354634,62.0732
gelu,9,6,1.387413638944079,51.9324
gelu,9,7,1.559153427758794,45.962399999999995
gelu,9,8,1.7236209168100054,40.010799999999996
