activation,trial,sigma,test_loss,test_acc
silu,0,0,0.03561064885402021,98.92
silu,0,1,0.03143872819708551,98.96800000000002
silu,0,2,0.1070468758276121,96.4928
silu,0,3,0.3878012816736083,86.9118
silu,0,4,0.7401196937785027,74.8442
silu,0,5,1.1029997063062753,62.04859999999999
silu,0,6,1.3931950362244987,52.043800000000005
silu,0,7,1.576359457627983,45.4956
silu,0,8,1.7230340188172213,40.535
silu,1,0,0.027824774754251644,99.15999999999998
silu,1,1,0.030174709804839737,99.0458
silu,1,2,0.1056303481895708,96.56039999999999
silu,1,3,0.3686633999323009,87.5364
silu,1,4,0.7386468221883105,75.06220000000002
silu,1,5,1.0741306450982002,63.140800000000006
silu,1,6,1.3574967335363863,53.3582
silu,1,7,1.5750605083878633,45.655599999999986
silu,1,8,1.7178996847845185,40.486599999999996
silu,2,0,0.025093893475348947,99.13
silu,2,1,0.031158449851891482,98.973
silu,2,2,0.13293299057966568,95.66919999999999
silu,2,3,0.3561336064272247,87.95740000000002
silu,2,4,0.7459340944772314,74.54400000000001
silu,2,5,1.0844769641548204,62.89999999999999
silu,2,6,1.390396452026003,52.101800000000004
silu,2,7,1.5707149358312038,45.654399999999995
silu,2,8,1.703161712315432,41.03020000000001
silu,3,0,0.02949706296347323,99.06999999999998
silu,3,1,0.04291573963281521,98.6308
silu,3,2,0.13366050324417578,95.68499999999999
silu,3,3,0.3554631517834629,88.0408
silu,3,4,0.7594245920467907,74.14
silu,3,5,1.0924217272715964,62.6454
silu,3,6,1.3420630453498503,53.799
silu,3,7,1.5707905743987698,45.85840000000001
silu,3,8,1.714618909252677,40.5662
silu,4,0,0.03205779738656384,99.10999999999999
silu,4,1,0.0560365087844418,98.24599999999998
silu,4,2,0.10936785814920323,96.3664
silu,4,3,0.3729702967476502,87.3714
silu,4,4,0.7147609220056017,75.6978
silu,4,5,1.1030201765837944,62.255599999999994
silu,4,6,1.352533038353464,53.5258
silu,4,7,1.5697232614580994,45.90300000000001
silu,4,8,1.7051393450597288,41.215
silu,5,0,0.03590633581364846,98.83
silu,5,1,0.038010780694319825,98.7928
silu,5,2,0.10525455814089245,96.58259999999999
silu,5,3,0.37613928304214006,87.3844
silu,5,4,0.7411244674909646,74.66680000000001
silu,5,5,1.1026107950612996,62.46539999999999
silu,5,6,1.3619216381820143,53.158
silu,5,7,1.5613263655695948,45.925200000000004
silu,5,8,1.714117689512338,40.5232
silu,6,0,0.030871673123560664,99.06999999999998
silu,6,1,0.03136638406045422,98.96719999999999
silu,6,2,0.11370512566036489,96.30720000000001
silu,6,3,0.38615913149230413,86.94940000000001
silu,6,4,0.7163677997782731,75.7814
silu,6,5,1.0818941298601734,62.955200000000005
silu,6,6,1.3474806122795033,53.630199999999995
silu,6,7,1.5792414051560082,45.35679999999999
silu,6,8,1.7086216030910517,41.1082
silu,7,0,0.0434001315611075,98.7
silu,7,1,0.03084316976049907,99.0502
silu,7,2,0.11449497531396544,96.24719999999999
silu,7,3,0.37482699887530435,87.3406
silu,7,4,0.7172572825459917,75.54899999999999
silu,7,5,1.0767065234055186,63.065799999999996
silu,7,6,1.3693481861709786,52.87479999999999
silu,7,7,1.5743910846740579,45.388200000000005
silu,7,8,1.7346444302000055,39.826800000000006
silu,8,0,0.018885698170744286,99.46
silu,8,1,0.041417043180343775,98.67800000000001
silu,8,2,0.1343115832335553,95.62799999999999
silu,8,3,0.3508337139881625,88.182
silu,8,4,0.7306156805423414,75.06339999999999
silu,8,5,1.0802238118572598,63.114000000000004
silu,8,6,1.3695990514679317,53.016000000000005
silu,8,7,1.562120867443692,45.796800000000005
silu,8,8,1.7162989490806677,40.45199999999999
silu,9,0,0.03185471800540776,99.13
silu,9,1,0.03498406719898262,98.9376
silu,9,2,0.12255365556157877,95.9094
silu,9,3,0.3646315148126357,87.83539999999999
silu,9,4,0.7226383718240793,75.4632
silu,9,5,1.0998004510372308,62.233999999999995
silu,9,6,1.3493878080283,53.7692
silu,9,7,1.5637296206100728,45.93380000000001
silu,9,8,1.7100461461741454,40.62
