activation,trial,sigma,test_loss,test_acc
zailu,0,0,0.01697245873694822,99.39999999999998
zailu,0,1,0.05461805103492039,98.2564
zailu,0,2,0.11939929846500692,96.05920000000002
zailu,0,3,0.3676912643907557,87.5766
zailu,0,4,0.7151691799254932,75.4838
zailu,0,5,1.1125032655828317,61.9198
zailu,0,6,1.3592447147855333,53.3188
zailu,0,7,1.5684668192210471,45.717200000000005
zailu,0,8,1.7316302541714563,39.7246
zailu,1,0,0.026717407753981227,99.10000000000002
zailu,1,1,0.03657324580038482,98.88539999999999
zailu,1,2,0.12075572943629675,96.028
zailu,1,3,0.3559668944097439,88.0522
zailu,1,4,0.7610717944032066,74.1074
zailu,1,5,1.086020312612983,62.8178
zailu,1,6,1.363370535176271,53.1222
zailu,1,7,1.5719399791842052,45.4824
zailu,1,8,1.7203561662716467,40.0882
zailu,2,0,0.028260742912456775,99.02000000000002
zailu,2,1,0.037010864325551396,98.82659999999998
zailu,2,2,0.14828397943504792,95.166
zailu,2,3,0.37128875975111486,87.58759999999998
zailu,2,4,0.7205149051736874,75.4788
zailu,2,5,1.0962580542731437,62.68
zailu,2,6,1.3592537201286121,53.008199999999995
zailu,2,7,1.5606403992510147,45.986
zailu,2,8,1.703552620562778,40.97560000000001
zailu,3,0,0.031106641046859684,99.10000000000002
zailu,3,1,0.035513896303573295,98.93019999999999
zailu,3,2,0.12006169440883958,96.15400000000001
zailu,3,3,0.36685888994864785,87.66239999999998
zailu,3,4,0.7299315366395719,75.1648
zailu,3,5,1.0739021046867798,63.2864
zailu,3,6,1.3676506737159313,52.79679999999999
zailu,3,7,1.5711211727910739,45.6846
zailu,3,8,1.745234083506712,39.366800000000005
zailu,4,0,0.02848856225091657,99.08
zailu,4,1,0.03265390322884399,98.97479999999997
zailu,4,2,0.13402495225495512,95.64280000000001
zailu,4,3,0.3836830998722251,87.04899999999999
zailu,4,4,0.7186595109010199,75.4476
zailu,4,5,1.0998086365506907,62.57699999999999
zailu,4,6,1.351701155331484,54.037800000000004
zailu,4,7,1.5954389638657782,44.92300000000001
zailu,4,8,1.749573682478279,38.8052
zailu,5,0,0.033771887467082706,99.13
zailu,5,1,0.047516385651456605,98.46919999999999
zailu,5,2,0.12602836756585137,95.8512
zailu,5,3,0.3512656656510321,88.26299999999999
zailu,5,4,0.7304429405633431,75.02579999999999
zailu,5,5,1.0900178297006398,62.56459999999999
zailu,5,6,1.3652121042294103,53.1888
zailu,5,7,1.5827860260313482,45.399800000000006
zailu,5,8,1.7596228838878074,38.619
zailu,6,0,0.02209826164371812,99.22000000000001
zailu,6,1,0.03833693350177505,98.77599999999998
zailu,6,2,0.14125139344875126,95.45739999999999
zailu,6,3,0.3858644967407558,87.12899999999999
zailu,6,4,0.7313196763035598,74.9354
zailu,6,5,1.0924920411322525,62.62700000000001
zailu,6,6,1.3901288220988715,52.29559999999999
zailu,6,7,1.5758909077325447,45.487799999999986
zailu,6,8,1.7131812252056826,40.4222
zailu,7,0,0.023797104109527626,99.26000000000002
zailu,7,1,0.03928926102453168,98.69500000000002
zailu,7,2,0.12072027186773404,96.05520000000003
zailu,7,3,0.3873110442143527,86.763
zailu,7,4,0.7391256937232746,74.88940000000001
zailu,7,5,1.1057649240030605,62.328599999999994
zailu,7,6,1.3481865704818892,53.587399999999995
zailu,7,7,1.5636677330390665,45.96860000000001
zailu,7,8,1.7289300924046025,39.437400000000004
zailu,8,0,0.02761330021783312,99.18999999999998
zailu,8,1,0.032851400022746426,98.92699999999999
zailu,8,2,0.13767466334763256,95.58659999999998
zailu,8,3,0.3875871728099646,86.94480000000001
zailu,8,4,0.7518305646613905,74.3474
zailu,8,5,1.0886585991018136,63.0608
zailu,8,6,1.3695941088609636,52.9406
zailu,8,7,1.5671545597929863,45.8474
zailu,8,8,1.7402645856255938,39.3882
zailu,9,0,0.020029665597454588,99.38
zailu,9,1,0.039929310211191706,98.78579999999998
zailu,9,2,0.11177292649869981,96.27699999999999
zailu,9,3,0.3744323571363262,87.38599999999998
zailu,9,4,0.7502685660997013,74.58340000000001
zailu,9,5,1.101102962714092,62.41839999999999
zailu,9,6,1.3679662867260582,53.08219999999999
zailu,9,7,1.57578046950565,45.642799999999994
zailu,9,8,1.7278974068392614,39.6904
