activation,trial,sigma,test_loss,test_acc
gelu,0,0,0.01831642670432609,99.42000000000002
gelu,0,1,6.649538539321559,22.085
gelu,0,2,10.638694019074654,10.003
gelu,0,3,14.711945303837968,9.73
gelu,0,4,18.957396274615245,9.74
gelu,0,5,23.369670969361714,9.740000000000002
gelu,0,6,27.897922909487583,9.740000000000002
gelu,0,7,32.54780893811754,9.740000000000002
gelu,0,8,37.260282394992316,9.740000000000002
gelu,1,0,0.04634582064739966,98.73
gelu,1,1,5.78883325506927,21.8265
gelu,1,2,8.508389519278412,13.531
gelu,1,3,10.40163991800539,10.8995
gelu,1,4,12.793781372544112,10.0675
gelu,1,5,15.568147030301912,9.806999999999999
gelu,1,6,18.532349006992995,9.7825
gelu,1,7,21.663124288571108,9.7435
gelu,1,8,24.817552740862418,9.743500000000001
gelu,2,0,0.027544069152766026,99.19000000000001
gelu,2,1,4.434831429363056,28.588
gelu,2,2,8.753182189327896,13.488999999999999
gelu,2,3,10.769706912253314,12.2925
gelu,2,4,13.8001311047062,10.394499999999999
gelu,2,5,17.909158296645828,9.7915
gelu,2,6,22.429936330637354,9.742
gelu,2,7,27.075749171311692,9.741000000000003
gelu,2,8,31.822028269433673,9.740000000000002
gelu,3,0,0.04228604681253031,98.49
gelu,3,1,6.188731137506521,28.25
gelu,3,2,14.135117499843522,11.0025
gelu,3,3,17.8184894349165,10.093
gelu,3,4,20.250905016880886,9.922
gelu,3,5,22.49984678645043,9.857
gelu,3,6,24.839751433718735,9.820000000000002
gelu,3,7,27.341885169448364,9.787000000000003
gelu,3,8,30.0143952236054,9.764
gelu,4,0,0.019667449907350965,99.40000000000002
gelu,4,1,12.542194363721617,18.465
gelu,4,2,19.172705080554742,10.0025
gelu,4,3,22.539875288677827,9.773499999999999
gelu,4,4,25.385401787120067,9.776
gelu,4,5,28.126700182629236,9.791
gelu,4,6,30.820062117363996,9.789500000000002
gelu,4,7,33.595322418212895,9.7955
gelu,4,8,36.39910584771708,9.793
gelu,5,0,0.028334590239442174,99.18000000000002
gelu,5,1,5.410240445319255,21.896000000000004
gelu,5,2,13.132383520284275,9.806
gelu,5,3,17.317531011970182,9.741000000000003
gelu,5,4,20.657644836158507,9.740000000000002
gelu,5,5,23.881727483469966,9.740000000000002
gelu,5,6,27.154906965972508,9.740000000000002
gelu,5,7,30.457250980207114,9.740000000000002
gelu,5,8,33.882494719317,9.740000000000002
gelu,6,0,0.03712457247498478,98.69000000000001
gelu,6,1,3.8637470383552994,41.64149999999999
gelu,6,2,6.13934382936757,22.1205
gelu,6,3,7.692279135041936,14.659499999999998
gelu,6,4,9.28196140854222,11.939
gelu,6,5,10.737300847594145,11.056
gelu,6,6,12.166997978793587,10.612
gelu,6,7,13.619028811849606,10.376000000000001
gelu,6,8,15.147353702290044,10.357
gelu,7,0,0.029989799714173964,99.07999999999998
gelu,7,1,0.7220717745245832,77.98299999999999
gelu,7,2,5.2965325204430105,22.909000000000002
gelu,7,3,8.754752387818257,14.732999999999999
gelu,7,4,11.17841397820005,12.626000000000001
gelu,7,5,13.43995028635499,11.124500000000001
gelu,7,6,15.754545971694265,10.296
gelu,7,7,18.120903157884147,9.916000000000002
gelu,7,8,20.498769640466968,9.816500000000001
gelu,8,0,0.02111018330261414,99.28999999999999
gelu,8,1,1.9580588664788352,54.33
gelu,8,2,9.094451014403324,17.848500000000005
gelu,8,3,14.309100237317903,11.593
gelu,8,4,17.380678285914623,10.3315
gelu,8,5,19.47630483845996,10.1595
gelu,8,6,21.22431278046529,10.144499999999999
gelu,8,7,22.879223221578417,10.120000000000001
gelu,8,8,24.52884160545981,10.129999999999999
gelu,9,0,0.027256360102096637,99.14000000000001
gelu,9,1,1.675643535746131,56.8865
gelu,9,2,3.729688161649522,28.84250000000001
gelu,9,3,4.870620724274094,17.4925
gelu,9,4,6.041047416219286,13.4525
gelu,9,5,7.218661651034263,12.0355
gelu,9,6,8.451834919801943,11.348499999999998
gelu,9,7,9.745660364855627,10.9435
gelu,9,8,11.130178538401415,10.721
