activation,trial,sigma,test_loss,test_acc
relu,0,0,0.02621387647175965,99.20000000000002
relu,0,1,8.920783489828656,22.395500000000002
relu,0,2,22.69841976105028,9.802
relu,0,3,34.65971571563915,9.740000000000002
relu,0,4,45.07531032926717,9.740000000000002
relu,0,5,54.83483009095405,9.740000000000002
relu,0,6,64.27093083569957,9.740000000000002
relu,0,7,73.54826135331658,9.740000000000002
relu,0,8,82.71334820401137,9.740000000000002
relu,1,0,0.03187847286762395,99.03
relu,1,1,2.428559759657854,48.55500000000001
relu,1,2,7.470882665883204,15.209
relu,1,3,10.443717652825033,11.112
relu,1,4,12.54752198146407,10.291
relu,1,5,14.357239421917376,10.059
relu,1,6,16.105008627047205,9.936499999999999
relu,1,7,17.812898218252094,9.869
relu,1,8,19.539796612672742,9.908999999999999
relu,2,0,0.020553324829092688,99.38000000000002
relu,2,1,8.702231068823748,14.1035
relu,2,2,21.07253197773247,9.741000000000003
relu,2,3,29.099173553126633,9.740000000000002
relu,2,4,35.93135565800272,9.740000000000002
relu,2,5,42.31748438428162,9.740000000000002
relu,2,6,48.527615164495586,9.740000000000002
relu,2,7,54.60971612748067,9.740000000000002
relu,2,8,60.68121287594935,9.740000000000002
relu,3,0,0.02973631578899851,99.18000000000002
relu,3,1,3.708121994498429,36.775999999999996
relu,3,2,7.231285840690515,18.379500000000004
relu,3,3,10.16750199506237,12.547
relu,3,4,13.000896202986405,10.846
relu,3,5,15.854034513121197,10.3365
relu,3,6,18.87521916468432,10.0365
relu,3,7,21.95125927773251,9.9085
relu,3,8,25.174554298789637,9.8675
relu,4,0,0.02834669312679655,99.03999999999999
relu,4,1,13.64733741268231,10.353
relu,4,2,27.459249911946095,9.740000000000002
relu,4,3,35.62536665132851,9.740000000000002
relu,4,4,42.258320669915264,9.740000000000002
relu,4,5,48.28704289843323,9.739500000000001
relu,4,6,54.07816113150044,9.7405
relu,4,7,59.72244978862203,9.740000000000002
relu,4,8,65.32050112584594,9.740000000000002
relu,5,0,0.029989950098833252,98.97
relu,5,1,5.8409147757633475,19.609499999999997
relu,5,2,10.181460728766812,13.3125
relu,5,3,13.707610042231858,10.255000000000003
relu,5,4,17.250201922009705,9.8515
relu,5,5,20.781628585013614,9.822000000000001
relu,5,6,24.30925640543555,9.868500000000001
relu,5,7,27.863501860989125,9.889500000000002
relu,5,8,31.42521816302257,9.922500000000003
relu,6,0,0.03083522248851724,98.96000000000001
relu,6,1,8.20716262683747,18.509999999999998
relu,6,2,19.830116048436253,10.486
relu,6,3,26.26871934635624,10.139000000000001
relu,6,4,30.844903591180305,10.073000000000002
relu,6,5,34.69740329244333,10.075
relu,6,6,38.28262547717732,10.070500000000001
relu,6,7,41.8224724071041,10.0555
relu,6,8,45.264373916577384,9.960000000000003
relu,7,0,0.021827259009247875,99.28999999999999
relu,7,1,2.7971408473078614,41.537000000000006
relu,7,2,9.023871537530498,12.2415
relu,7,3,13.339203826029589,9.959
relu,7,4,17.041662173362294,9.772
relu,7,5,20.54967115122801,9.756
relu,7,6,23.9882952088763,9.740999999999998
relu,7,7,27.406217108562494,9.746500000000001
relu,7,8,30.713149452816907,9.741000000000001
relu,8,0,0.023320764258022313,99.21000000000001
relu,8,1,4.998371535653521,30.5625
relu,8,2,14.474885666901898,10.3075
relu,8,3,19.131301801827306,9.921000000000001
relu,8,4,22.56977329497125,9.871500000000001
relu,8,5,25.70273172779448,9.815500000000002
relu,8,6,28.8149645197923,9.744499999999999
relu,8,7,31.932076442621316,9.663
relu,8,8,35.06236862376998,9.623000000000001
relu,9,0,0.018966583598369065,99.33999999999999
relu,9,1,3.587567985209689,36.7735
relu,9,2,9.41486882753433,13.934999999999999
relu,9,3,16.86100248470428,10.395
relu,9,4,23.63531713303487,10.117500000000001
relu,9,5,29.737237728021704,10.1055
relu,9,6,35.553799096490174,10.099
relu,9,7,41.21541198317412,10.100999999999999
relu,9,8,46.725107242802906,10.1005
