activation,trial,sigma,test_loss,test_acc
silu,0,0,0.0373397892832307,98.90000000000002
silu,0,1,4.435096253786877,32.3795
silu,0,2,11.364621693617218,14.260500000000002
silu,0,3,14.450908518444958,11.072499999999998
silu,0,4,16.30947114889789,10.611
silu,0,5,17.534827912081578,10.405000000000001
silu,0,6,18.51559386192613,10.233500000000001
silu,0,7,19.485967175672005,10.103000000000002
silu,0,8,20.59038979445294,10.046000000000001
silu,1,0,0.02476488613074195,99.13000000000002
silu,1,1,1.7512826301299846,55.6365
silu,1,2,6.712331850513531,17.7805
silu,1,3,12.464073355182721,10.8935
silu,1,4,17.32435217662981,10.144
silu,1,5,21.24006609886315,10.1005
silu,1,6,24.441371764043335,10.099499999999997
silu,1,7,27.198490105161245,10.099999999999998
silu,1,8,29.656504381386334,10.099999999999998
silu,2,0,0.029028788396004573,99.14000000000001
silu,2,1,3.4390531394512025,43.1665
silu,2,2,14.491490103181002,14.017999999999997
silu,2,3,21.382125293828878,11.8715
silu,2,4,26.15978081636368,11.3295
silu,2,5,29.984180336848947,10.966999999999999
silu,2,6,33.23107933056583,10.648499999999999
silu,2,7,36.01587450549861,10.452499999999999
silu,2,8,38.527047795095264,10.411499999999998
silu,3,0,0.019940441480598075,99.28999999999999
silu,3,1,2.3906756982492032,53.6115
silu,3,2,8.885172006886474,18.284499999999998
silu,3,3,11.635663383629671,13.234
silu,3,4,13.138696928692472,11.803999999999998
silu,3,5,14.262565760703604,11.1565
silu,3,6,15.326808530965426,10.6695
silu,3,7,16.440039869174836,10.696499999999999
silu,3,8,17.61153363665198,10.5215
silu,4,0,0.032921160719298855,98.89000000000001
silu,4,1,1.2233463674024414,63.5425
silu,4,2,4.184852956662512,24.5325
silu,4,3,5.410645455159958,17.570999999999998
silu,4,4,6.71421573131707,13.2085
silu,4,5,8.113356611379393,11.1925
silu,4,6,9.354992276695883,10.263
silu,4,7,10.397173655868336,9.836500000000001
silu,4,8,11.295488385485996,9.66
silu,5,0,0.03210568832610601,98.95000000000002
silu,5,1,11.16386427940077,11.342999999999998
silu,5,2,22.025940486276227,9.740500000000003
silu,5,3,25.872251203257566,9.740000000000002
silu,5,4,28.690659153081803,9.740000000000002
silu,5,5,31.329954728047557,9.740000000000002
silu,5,6,33.96455556420004,9.740000000000002
silu,5,7,36.64551312574156,9.740000000000002
silu,5,8,39.30734102285591,9.740000000000002
silu,6,0,0.0251083632648046,99.15000000000002
silu,6,1,5.68880678468449,23.958000000000002
silu,6,2,21.517493545629417,9.746500000000001
silu,6,3,29.941055270516948,9.740000000000002
silu,6,4,35.69513818352087,9.740000000000002
silu,6,5,40.457817239214656,9.740000000000002
silu,6,6,44.8203931018805,9.740000000000002
silu,6,7,48.92488229836628,9.740000000000002
silu,6,8,52.98396509620035,9.740000000000002
silu,7,0,0.030371223418381298,99.08999999999999
silu,7,1,1.6597598679885746,56.9645
silu,7,2,8.710098051872983,13.742999999999999
silu,7,3,13.515042523973307,9.894499999999999
silu,7,4,16.954778988042452,9.747000000000002
silu,7,5,19.859593666586903,9.744000000000003
silu,7,6,22.552661595071193,9.740500000000003
silu,7,7,25.1743547148006,9.740500000000003
silu,7,8,27.77337642475298,9.740000000000002
silu,8,0,0.021475754331013553,99.34999999999998
silu,8,1,1.673679542104909,56.6765
silu,8,2,8.494318631803916,13.748
silu,8,3,13.529371563492308,9.906000000000002
silu,8,4,17.44887711348807,9.7655
silu,8,5,20.617088372540323,9.760000000000002
silu,8,6,23.314075780370434,9.744000000000002
silu,8,7,25.74368102140487,9.741000000000001
silu,8,8,27.967691083774447,9.741500000000002
silu,9,0,0.03457503087730014,98.94000000000001
silu,9,1,4.58075337728877,28.505999999999993
silu,9,2,13.293148523075564,15.1595
silu,9,3,17.77133124770632,11.281
silu,9,4,21.80674898609234,9.931000000000001
silu,9,5,25.679337052630775,9.755999999999998
silu,9,6,29.49260274498325,9.741999999999999
silu,9,7,33.24354611232782,9.739
silu,9,8,36.993751719043516,9.740000000000002
