activation,trial,sigma,test_loss,test_acc
zailu,0,0,0.02348880892212408,99.21000000000001
zailu,0,1,5.643186078709402,19.3425
zailu,0,2,20.65199766341288,9.740500000000003
zailu,0,3,30.656299027363964,9.740000000000002
zailu,0,4,39.12949279979535,9.740000000000002
zailu,0,5,47.06001346976894,9.740000000000002
zailu,0,6,54.71287780202878,9.740000000000002
zailu,0,7,62.23140024075842,9.740000000000002
zailu,0,8,69.67717070245439,9.740000000000002
zailu,1,0,0.01906453211309654,99.33999999999999
zailu,1,1,2.1423764984888636,52.83599999999999
zailu,1,2,8.479350386151841,16.2605
zailu,1,3,12.5377782274963,11.885499999999999
zailu,1,4,16.042376517338354,10.4455
zailu,1,5,19.36743049287492,9.978
zailu,1,6,22.601075450629942,9.807500000000001
zailu,1,7,25.766150634303976,9.779
zailu,1,8,28.907670795537864,9.753
zailu,2,0,0.022950956220547655,99.30999999999999
zailu,2,1,2.9756183098076256,42.676
zailu,2,2,8.535541646495744,14.589500000000001
zailu,2,3,13.923474374394507,9.904
zailu,2,4,19.088522442131286,9.742
zailu,2,5,24.090544273595142,9.740000000000002
zailu,2,6,29.049027618481098,9.740000000000002
zailu,2,7,34.026479446508326,9.740000000000002
zailu,2,8,38.983602244383206,9.740000000000002
zailu,3,0,0.021187122561088338,99.28999999999999
zailu,3,1,5.375863229013552,30.648499999999995
zailu,3,2,9.744895220865871,16.0075
zailu,3,3,11.443427114122233,12.026
zailu,3,4,12.839470838741132,11.014500000000002
zailu,3,5,14.342305109910907,10.647500000000003
zailu,3,6,15.95610514233826,10.397499999999999
zailu,3,7,17.581741561707418,10.425999999999998
zailu,3,8,19.228850464608264,10.275
zailu,4,0,0.037597476855564735,98.84999999999998
zailu,4,1,4.898736971502851,36.313
zailu,4,2,11.61337145635277,17.041500000000003
zailu,4,3,16.252402130661498,11.606000000000002
zailu,4,4,20.520046065871124,10.3385
zailu,4,5,24.54697293445563,10.0385
zailu,4,6,28.437875265376583,9.890000000000002
zailu,4,7,32.2374719145951,9.874
zailu,4,8,35.8891304028262,9.8325
zailu,5,0,0.03048185266078498,99.06999999999998
zailu,5,1,3.3221629117704503,38.11450000000001
zailu,5,2,13.595592456562503,11.252
zailu,5,3,19.76646660725782,10.139
zailu,5,4,24.2484574366527,9.936
zailu,5,5,28.01867669767635,9.8805
zailu,5,6,31.449570158940208,9.823000000000002
zailu,5,7,34.74672443669313,9.81
zailu,5,8,37.9541842843317,9.778500000000001
zailu,6,0,0.024050718529072406,99.25
zailu,6,1,5.5804557365976315,30.064
zailu,6,2,14.483167355531341,13.323500000000001
zailu,6,3,19.941586561263748,10.532999999999998
zailu,6,4,24.363694672675653,9.946
zailu,6,5,28.454745247105883,9.808499999999999
zailu,6,6,32.36403958934129,9.760000000000002
zailu,6,7,36.214709975613154,9.7785
zailu,6,8,40.049346806593,9.744499999999999
zailu,7,0,0.02735907450022849,99.14000000000001
zailu,7,1,2.4277838075236913,43.94200000000001
zailu,7,2,5.95449491746866,21.862499999999997
zailu,7,3,7.863715372115943,14.460500000000001
zailu,7,4,9.498784912012184,11.9265
zailu,7,5,11.048274095498831,11.062499999999998
zailu,7,6,12.548063054358124,10.5085
zailu,7,7,14.038932790573995,10.273500000000002
zailu,7,8,15.448342343956043,10.295
zailu,8,0,0.04893550020735267,98.45000000000002
zailu,8,1,2.1047461638025418,49.3995
zailu,8,2,9.943079151469432,12.994499999999999
zailu,8,3,16.8156189578354,9.891499999999999
zailu,8,4,22.130902920255238,9.758500000000002
zailu,8,5,26.63525164112164,9.7485
zailu,8,6,30.768080597774237,9.748
zailu,8,7,34.71464257452898,9.742499999999998
zailu,8,8,38.531457881563036,9.745500000000002
zailu,9,0,0.04686339648159081,98.5
zailu,9,1,3.117668345741405,39.956
zailu,9,2,7.578352416700618,19.654999999999998
zailu,9,3,12.188292876929994,12.0595
zailu,9,4,16.50676299113377,10.3005
zailu,9,5,20.527061119201075,9.874999999999998
zailu,9,6,24.45311912488026,9.7855
zailu,9,7,28.24944357598663,9.754
zailu,9,8,31.98019780565978,9.739
