epoch,train_loss,test_loss,accuracy
1,3.873926731021813,1.664553031136718,38.32
2,1.626139221593852,1.4904916195929805,44.01
3,1.4707135629775885,1.3611927560613126,50.95
4,1.3407817008855092,1.2957971820348426,52.23
5,1.236423771094788,1.1597471357900886,57.93
6,1.1735777850346187,1.0845597212827658,61.38
7,1.125978238747248,1.1028313885761212,60.61
8,1.0995796223735566,1.083906344220608,61.49
9,1.0794272590476228,1.054275570790979,63.53
10,1.0753083553765437,1.0360800729522222,63.27
11,1.0532530791619246,0.9864992929410331,65.09
12,1.0526738544864118,0.9907699249967744,65.34
13,1.045178200582714,0.9484549353394327,67.39
14,1.03399129840724,1.005486261995533,65.51
15,1.0066160294405944,1.0573418532745749,63.76
16,0.9859185506925559,0.9865014575704744,66.07
17,0.9626131722384401,0.9269516196431993,68.22
18,0.9429212084511662,0.8540563666367833,70.55
19,0.9372560982509037,0.8758691187146344,69.53
20,0.9093171167556587,0.8194358982617342,72.24
21,0.8773955958883476,0.8059562557860266,72.63
22,0.8821061168180402,0.8813838415508028,69.99
23,251327370.72434118,337828.35205696203,14.82
24,203676.61504955243,113308.61580300632,16.07
25,86501.42963754796,55795.86708860759,18.22
26,54177.05027173913,40105.82755636867,18.35
27,38892.285530890345,32348.545564675635,17.18
28,31207.24675811221,22069.28881526899,20.66
29,25739.209149216753,19404.51034661788,21.15
30,19325.52163423114,14708.669068928006,20.11
31,17006.913920136667,24505.851290545885,14.22
32,13823.624060901535,11919.805614616298,19.05
33,11196.829644791,8746.759054835838,21.03
34,9890.607394401375,6275.628127472311,22.8
35,7523.584908487852,4701.441230097904,25.3
36,6382.573761688779,5770.037535848497,17.69
37,5275.9794946851025,4107.178049594541,23.81
38,4449.595502692416,3776.373365184929,20.75
39,3616.11452911455,1946.784893567049,28.39
40,3319.9689960138267,3155.1498498071596,21.2
41,2525.616964276794,2381.780738540843,18.77
42,2318.6402288178347,1646.660870129549,24.65
43,1793.5461182265026,942.8436708088162,28.74
44,1723.963529855089,878.9060970258109,26.38
45,1316.3205363476063,1778.2643455795094,18.56
46,1189.266375997792,757.5087411614913,24.45
47,1089.0807905660565,744.3158561609969,25.91
48,886.1388684831312,1180.0326793042918,18.82
49,992.4946138425861,1492.8412653283228,17.95
50,629.1601823967741,338.1520391536664,29.77
51,560.8682819961587,432.92124533351466,26.29
52,437.4791170788543,428.98890512200853,21.75
53,402.8800280246588,195.782022983213,31.48
54,182661070.17700842,304965.13172468357,17.33
55,205715.23679267903,82177.50153283228,19.68
56,78704.95023777174,42969.84325553798,20.69
57,44375.7928588555,28778.988108188292,19.93
58,29465.68505734495,18378.004375988923,22.87
59,21559.26564747842,16496.09934978244,19.62
60,18164.40891993686,24906.860215585442,16.74
61,14592.975433583759,14415.10430676424,19.04
62,12815.016983695652,8195.47345975079,22.44
63,11154.624386838635,12100.287035205696,20.13
64,10357.848802649456,7222.561894284019,19.78
65,8562.26927025056,15205.630785205696,16.08
66,7540.902387458041,6571.31463854826,23.36
67,6905.815672579324,4951.614554489715,23.06
68,5693.922621158687,3768.695726611946,22.12
69,5130.067838000519,3298.2137435719937,27.88
70,3907.878035835598,4189.544572661194,20.44
71,3793.0685963350184,2376.783470443532,24.83
72,2957.018645849984,2619.2062972829312,21.89
73,2315.1327325767265,2311.1656308717365,21.43
74,1896.0194307215074,1676.6074481432952,20.87
75,1744.7003378319314,1455.2384620376781,22.25
76,1523.9422284294578,579.9725457686412,30.13
77,208475254.7326596,784760.7357594937,13.69
78,345094.7572730179,136783.2906447785,22.18
79,126150.55236972506,92396.8478045886,21.91
80,79594.60436980499,45655.94071400316,25.69
81,54823.29199968031,37875.4687252769,24.67
82,42621.45881453804,27798.936684137658,25.38
83,34605.68075147858,28258.31739517405,21.81
84,27618.08053268862,19003.55397053006,25.63
85,23309.132849964033,13861.558062203323,26.82
86,19242.26238061461,10550.63415990902,28.36
87,14895.331724044916,13075.771620352058,24.22
88,13461.756678588556,7926.052233732199,26.92
89,11068.147749410566,6641.522825603243,27.39
90,9271.308999610374,4886.5671479430375,28.88
91,7575.1104389785805,7879.728070609177,23.46
92,6513.811000189818,3518.2878078026106,32.08
93,5498.146176545516,4549.035400390625,27.63
94,4818.620556141104,3719.0729084256327,25.72
95,4309.765195412404,5789.404358682753,22.27
96,4017.494982316976,2793.236771595629,28.84
97,3670.256747897019,2077.118219689478,30.15
98,4259.326079463714,2197.6596293389043,30.29
99,2260.012702805307,1304.8239730641812,32.24
100,2668.0483117457243,15514.20701888845,9.97
